StudentID,1,2,3,4,5,6,7,8,9,10,avgerage
A,1,1,1,1,1,1,1,1,1,1,1
B,0,1,0,0,1,1,1,0,0,0,0.4
C,0,1,1,1,1,0,0,1,0,1,0.6
D,1,1,0,1,0,1,0,1,1,1,0.7
E,0,1,1,1,1,0,0,0,0,0,0.4
F,1,1,0,1,1,1,1,0,1,0,0.7
G,1,0,1,0,1,1,1,0,0,1,0.6
H,1,0,0,0,1,0,1,0,1,0,0.4
I,1,0,0,0,1,1,1,1,1,1,0.7
G,0,0,0,1,0,1,1,1,0,0,0.4
K,1,1,1,1,1,0,0,1,1,1,0.8
L,0,1,1,1,1,1,1,1,0,0,0.7
M,1,1,1,1,1,1,1,1,1,0,0.9
N,0,1,1,1,1,1,1,1,1,1,0.9
O,1,0,0,1,0,0,0,0,0,0,0.2
P,1,1,1,1,1,1,1,1,1,1,1
Q,0,0,0,0,0,0,0,0,0,0,0
R,1,1,0,1,1,0,0,1,1,1,0.7
T,0,0,0,0,0,0,0,0,0,0,0
Average of all ,,,,,,,,,,,0.584210526
